model,genre,dialect,SpBLEU_corpus_score,ChrF_corpus_score
acegpt,Madar26,eng_to_egy,2.8%,14.3%
acegpt,Madar26,eng_to_sau,3.6%,17.1%
acegpt,Madar26,eng_to_syr,2.4%,14.2%
acegpt,Madar26,eng_to_mar,1.7%,9.7%
acegpt,Madar26,eng_to_pse,2.1%,11.5%
acegpt,Madar26,eng_to_sdn,2.8%,13.7%
acegpt,Madar26,dza_to_msa,3.2%,15.0%
acegpt,Madar26,egy_to_msa,3.9%,14.4%
acegpt,Madar26,sau_to_msa,5.0%,19.7%
acegpt,Madar26,syr_to_msa,3.4%,13.0%
acegpt,Madar26,mar_to_msa,3.8%,13.3%
acegpt,Madar26,pse_to_msa,3.4%,10.6%
acegpt,Madar26,sdn_to_msa,4.8%,14.5%
acegpt,Madar26,msa_to_dza,3.6%,21.2%
acegpt,Madar26,msa_to_egy,5.1%,24.1%
acegpt,Madar26,msa_to_sau,6.6%,27.7%
acegpt,Madar26,msa_to_syr,5.0%,23.6%
acegpt,Madar26,msa_to_mar,5.5%,24.4%
acegpt,Madar26,msa_to_pse,5.0%,23.4%
acegpt,Madar26,msa_to_sdn,6.1%,26.9%
acegpt,Flores200,egy_to_eng,24.0%,51.9%
acegpt,Flores200,sau_to_eng,28.9%,56.4%
acegpt,Flores200,syr_to_eng,27.9%,54.3%
acegpt,Flores200,mar_to_eng,18.4%,46.1%
acegpt,Flores200,pse_to_eng,30.4%,56.9%
acegpt,Flores200,eng_to_egy,6.9%,16.2%
acegpt,Flores200,eng_to_sau,10.5%,19.1%
acegpt,Flores200,eng_to_syr,6.7%,16.2%
acegpt,Flores200,eng_to_mar,2.1%,5.1%
acegpt,Flores200,eng_to_pse,4.5%,10.4%
acegpt,Flores200,egy_to_msa,6.3%,8.2%
acegpt,Flores200,sau_to_msa,27.5%,27.8%
acegpt,Flores200,syr_to_msa,7.9%,11.7%
acegpt,Flores200,mar_to_msa,4.4%,6.1%
acegpt,Flores200,pse_to_msa,8.4%,12.7%
acegpt,Flores200,msa_to_egy,27.7%,38.1%
acegpt,Flores200,msa_to_sau,52.1%,54.3%
acegpt,Flores200,msa_to_syr,22.7%,35.9%
acegpt,Flores200,msa_to_mar,13.7%,23.3%
acegpt,Flores200,msa_to_pse,18.9%,28.4%
